years,area_id,unit_name,race,officer_cnt,officer_pct,civilian_cnt,community_pct,allegations_pc_val,total_num_officers
2000,1548,10TH,Black,22,0.06111111111111111,39440,0.33397407128280254,0.003835959794399329,360
2000,1548,10TH,White,127,0.3527777777777778,4300,0.036411980388338004,0.003835959794399329,360
2000,1548,10TH,Hispanic,202,0.5611111111111111,73441,0.6218912213255654,0.003835959794399329,360
2000,1546,11TH,White,215,0.5526992287917738,1664,0.023611544683145556,0.009932741152765559,389
2000,1546,11TH,Native American/Alaskan Native,1,0.002570694087403599,73,0.0010358430059312655,0.009932741152765559,389
2000,1546,11TH,Black,64,0.16452442159383032,59671,0.846709424752391,0.009932741152765559,389
2000,1546,11TH,Hispanic,98,0.2519280205655527,8118,0.11519141811164402,0.009932741152765559,389
2000,1545,12TH,Black,42,0.1242603550295858,23039,0.18017658697573297,0.006154736488124565,338
2000,1545,12TH,White,147,0.4349112426035503,51775,0.4049065840821466,0.006154736488124565,338
2000,1545,12TH,Hispanic,141,0.4171597633136095,42329,0.33103410521705806,0.006154736488124565,338
2000,1533,14TH,Black,21,0.07720588235294118,8027,0.06817679933411473,0.003906979904533796,272
2000,1533,14TH,White,111,0.40808823529411764,49809,0.4230494827498344,0.003906979904533796,272
2000,1533,14TH,Native American/Alaskan Native,3,0.011029411764705883,189,0.0016052591346888854,0.003906979904533796,272
2000,1533,14TH,Hispanic,123,0.4522058823529412,54039,0.4589767110023951,0.003906979904533796,272
2000,1547,15TH,Hispanic,85,0.25297619047619047,2265,0.03809411685559554,0.0059874196912106025,336
2000,1547,15TH,White,180,0.5357142857142857,959,0.016129032258064516,0.0059874196912106025,336
2000,1547,15TH,Black,56,0.16666666666666666,55468,0.9328938073934542,0.0059874196912106025,336
2000,1542,16TH,White,241,0.7461300309597523,138045,0.692017324871417,0.001709427417010056,323
2000,1542,16TH,Black,11,0.034055727554179564,2022,0.010136252894998045,0.001709427417010056,323
2000,1542,16TH,Hispanic,55,0.17027863777089783,45438,0.22777995007068308,0.001709427417010056,323
2000,1527,17TH,Black,15,0.055350553505535055,4782,0.033186209193870754,0.0017071952031978681,271
2000,1527,17TH,Hispanic,87,0.3210332103321033,62232,0.43187874750166555,0.0017071952031978681,271
2000,1527,17TH,Native American/Alaskan Native,1,0.0036900369003690036,321,0.0022276815456362424,0.0017071952031978681,271
2000,1527,17TH,White,151,0.5571955719557196,55743,0.3868462691538974,0.0017071952031978681,271
2000,1544,18TH,White,208,0.5909090909090909,88418,0.7554446732341658,0.004998248477029417,352
2000,1544,18TH,Black,63,0.17897727272727273,10681,0.09125861877461744,0.004998248477029417,352
2000,1544,18TH,Hispanic,66,0.1875,5806,0.04960654813270563,0.004998248477029417,352
2000,1544,18TH,Native American/Alaskan Native,1,0.002840909090909091,108,0.0009227535649900462,0.004998248477029417,352
2000,1531,19TH,White,202,0.5343915343915344,150551,0.7498082535634955,0.0030530017033060072,378
2000,1531,19TH,Black,51,0.1349206349206349,13305,0.06626458019981472,0.0030530017033060072,378
2000,1531,19TH,Hispanic,104,0.2751322751322751,20025,0.09973304911697031,0.0030530017033060072,378
2000,1549,1ST,Black,87,0.2744479495268139,13452,0.21426864815788216,0.020452047594017298,317
2000,1549,1ST,Native American/Alaskan Native,1,0.0031545741324921135,95,0.0015131966677816536,0.020452047594017298,317
2000,1549,1ST,Hispanic,66,0.2082018927444795,3766,0.05998630158806008,0.020452047594017298,317
2000,1549,1ST,White,158,0.49842271293375395,32952,0.5248721747025374,0.020452047594017298,317
2000,1528,20TH,White,171,0.6042402826855123,49420,0.5414169743314453,0.0025964351055554947,283
2000,1528,20TH,Black,20,0.0706713780918728,9909,0.10855728042594683,0.0025964351055554947,283
2000,1528,20TH,Hispanic,67,0.23674911660777384,16519,0.1809726223994566,0.0025964351055554947,283
2000,1528,20TH,Native American/Alaskan Native,4,0.014134275618374558,223,0.0024430591921471533,0.0025964351055554947,283
2000,1539,22ND,Black,81,0.2709030100334448,62094,0.6091170382868522,0.003413739319802631,299
2000,1539,22ND,Hispanic,34,0.11371237458193979,3318,0.0325482386870837,0.003413739319802631,299
2000,1539,22ND,Native American/Alaskan Native,2,0.006688963210702341,112,0.0010986747236146398,0.003413739319802631,299
2000,1539,22ND,White,182,0.6086956521739131,34863,0.3419919365122963,0.003413739319802631,299
2000,1541,24TH,Hispanic,51,0.18411552346570398,29746,0.21090769863441058,0.002651767608729562,277
2000,1541,24TH,Native American/Alaskan Native,3,0.010830324909747292,351,0.0024886909910804183,0.002651767608729562,277
2000,1541,24TH,Black,15,0.05415162454873646,25322,0.17954026574398388,0.002651767608729562,277
2000,1541,24TH,White,186,0.6714801444043321,60488,0.4288773238418015,0.002651767608729562,277
2000,1532,25TH,White,225,0.5625,29371,0.14656845866331322,0.0026548098467496046,400
