name,area_id,pc_val
8th,1543,0.0449927841761227
20th,1528,0.03962576277128365
24th,1541,0.03784795587004921
19th,1531,0.043608618130746166
11th,1546,0.1757669495132957
2nd,1551,0.11252213455715168
16th,1542,0.027441072377457614
3rd,1535,0.11573071044061939
4th,1536,0.07898037628970261
15th,1547,0.11386188570083083
12th,1545,0.07808773041159311
18th,1544,0.06954827795387941
7th,1534,0.15454967567643624
25th,1532,0.040915011153195506
5th,1540,0.11195494381418356
17th,1527,0.02755107705973795
6th,1537,0.11148049889367136
14th,1533,0.05293108427185785
22nd,1539,0.05950500779862862
10th,1548,0.060139042957668955
9th,1550,0.05624057965750812
1st,1549,0.21689683184402925
